,,,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Summer Term,Fall Term,Winter Term,Spring Term,Annual,, Lab space ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter,Description,Building,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
098-727-BO,Rad Ctr,0098 - Radiation Center,"84,300","82,800","78,300","59,700","65,400","38,700","50,100","90,800","28,000","70,700","57,400","52,900","245,400","163,800","168,900","181,000","759,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109-848-BI,Weatherford,0109 - Weatherford Hall,"46,900","51,460","50,846","63,951","72,176","32,225","78,292","80,816","78,604","48,019","78,926","52,082","149,206","168,352","237,712","179,027","734,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115-527-BI,West Hall-100%,0115 - West Hall,"55,800","63,000","64,440","85,680","55,440","43,080","61,680","55,600","46,000","58,500","63,700","49,320","183,240","184,200","163,280","171,520","702,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083-000-CALC,Bookstore-Parking Garage,0205 - Parking Garage,"107,104","66,640","54,129","50,537","50,537","23,198","76,306","62,983","57,430","48,089","44,399","69,818","227,873","124,273","196,719","162,305","711,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-088,Cascade Hall,0058 - Cascade Hall,"60,900","59,700","58,500","61,200","56,100","64,200","61,200","56,100","54,900","52,800","54,000","58,200","179,100","181,500","172,200","165,000","697,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-282,University Plaza,2012 - University Plaza,"59,800","60,600","58,000","54,000","53,400","60,800","59,400","59,400","57,400","51,600","51,200","51,400","178,400","168,200","176,200","154,200","677,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139-MAIN-CH,W Green Main-Note G,0139 - West Greenhouse (W6&7),"60,361","44,641","65,522","52,824","53,400","42,925","59,487","76,499","68,060","37,673","52,500","51,385","170,524","149,150","204,046","141,558","665,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034-937-NI,KIDDER,0034 - Kidder Hall,"102,600","67,200","78,600","45,900","45,900","20,400","53,400","38,700","56,400","30,600","51,300","85,500","248,400","112,200","148,500","167,400","676,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030-996-LG,PHARMACY,0030 - Pharmacy,"94,800","63,120","71,280","49,020","49,020","21,360","55,080","49,440","51,240","31,080","55,440","71,040","229,200","119,400","155,760","157,560","661,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189-001-E,Tebeau Hall,0189 - Tebeau Hall,"39,723","42,637","53,557","50,475","49,154","37,074","61,759","79,240","57,338","71,474","48,175","27,528","135,917","136,703","198,337","147,177","618,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-377,GRAF,0006 - Graf Hall,"59,360","53,520","55,280","42,320","42,400","52,320","53,600","60,480","55,040","52,160","52,480","59,680","168,160","137,040","169,120","164,320","638,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-381,700 SW 26TH St Corvallis OR,0120 - Reser Stadium,"44,000","41,240","41,600","48,720","53,400","64,040","64,560","59,880","58,240","49,480","43,080","46,080","126,840","166,160","182,680","138,640","614,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156-000-E,Sports Performance Center,0156 - P. Wayne Valley Sports Performance Center,"49,300","54,800","57,300","42,200","49,700","54,100","61,900","52,500","45,700","51,700","46,600","36,200","161,400","146,000","160,100","134,500","602,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019-180-NI,ROGERS,0019 - Rogers Hall,"78,080","50,400","53,760","48,400","48,400","21,760","57,280","54,240","56,320","29,120","59,040","32,000","182,240","118,560","167,840","120,160","588,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061-994-LG,Kerr Administration - A side building meter,0061 - Kerr Administration Bldg,"72,600","61,800","79,200","41,400","41,400","29,100","35,400","62,700","42,000","41,100","39,900","42,600","213,600","111,900","140,100","123,600","589,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090-001-E,Austin Hall,0090 - Austin Hall,"82,000","39,000","40,000","57,600","43,300","32,700","47,600","41,830","44,019","29,204","56,722","55,283","161,000","133,600","133,449","141,209","569,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-067-NO,Crop Science,0080 - Crop Science Building,0,"54,400","68,900","59,900","44,300","38,700","53,700","54,400","37,200","49,600","46,400","56,300","123,300","142,900","145,300","152,300","563,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012-519-NI,GILBERT ,0012 - Gilbert Addition,"61,920","39,840","48,000","43,520","43,520","20,640","57,280","48,000","50,560","27,680","41,440","44,640","149,760","107,680","155,840","113,760","527,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197-167-BI,Arnold,0197 - Arnold Dining Center,"44,693","44,656","53,235","30,880","36,513","25,818","41,629","46,780","36,678","54,624","46,946","23,163","142,584","93,211","125,087","124,733","485,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-350,4100 SW Research Way,0537 - Gymnastics Practice Facility,"46,800","42,640","44,240","43,520","41,200","44,720","41,760","41,120","40,320","37,040","37,200","36,880","133,680","129,440","123,200","111,120","497,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081-Milam,MILAM,0081 - Milam Hall,"40,000","42,000","50,000","36,000","32,000","26,000","45,000","47,556","40,444","55,470","36,886","30,763","132,000","94,000","133,000","123,119","482,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139-562-NO,WEST XFORM.,0139 - West Greenhouse (W6&7),"38,160","30,000","51,600","39,120","37,200","30,000","37,680","57,840","52,560","29,280","41,040","38,640","119,760","106,320","148,080","108,960","483,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-076,General-26th & Western,0200 - LaSells Stewart Center ,"33,600","42,560","32,480","30,560","35,840","46,560","51,040","49,760","46,560","32,160","34,080","30,560","108,640","112,960","147,360","96,800","465,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111-000-BI,Buxton,0111 - Buxton Hall,"28,634","30,980","42,745","40,733","37,628","29,042","39,930","58,128","37,451","53,365","36,361","26,478","102,359","107,403","135,509","116,204","461,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-382,SW 26th Ave Corvallis OR Scoreboard,0120 - Reser Stadium,"35,600","33,440","38,720","39,520","44,080","49,360","42,400","48,400","46,000","20,800","35,280","35,760","107,760","132,960","136,800","91,840","469,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196-190-BI,Finley,0196 - Finley Hall,"18,796","19,435","32,991","38,198","36,582","30,929","45,368","65,989","40,855","57,658","36,503","20,667","71,222","105,709","152,212","114,828","443,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105-995-LG,LANGTON,0105 - Langton Hall,"44,000","33,920","31,360","33,520","33,520","27,520","34,560","62,880","37,600","38,900","37,900","15,840","109,280","94,560","135,040","92,640","431,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096-623-BIR,Sackett,0096 - Sackett Hall,"30,000","30,000","38,000","36,000","33,000","27,000","36,000","49,731","37,269","51,230","35,242","24,176","98,000","96,000","123,000","110,648","427,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020-003-NI,MILNE CC,0020 - Milne Computer Center,"25,502","29,302","48,500","41,070","39,400","36,800","49,600","31,991","34,400","37,235","28,336","20,976","103,304","117,270","115,991","86,547","423,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198-413-BI,Bloss,0198 - Bloss Hall,"21,582","18,628","32,000","43,400","37,600","32,600","47,700","44,800","34,000","40,120","45,100","32,300","72,210","113,600","126,500","117,520","429,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-147,Halsell Hall,0204 - Carrie Halsell Residence Hall,"36,640","26,480","25,760","37,520","40,560","42,560","32,960","40,480","42,240","35,040","36,480","37,840","88,880","120,640","115,680","109,360","434,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038-751-NI,STRAND AG.,0038 - Strand Agricultural Hall,"55,430","36,186","28,538","34,920","34,920","16,142","42,335","39,243","39,790","23,543","39,083","32,178","120,154","85,982","121,368","94,804","422,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-209,Dryden Hall,0151 - Dryden Hall,"38,480","40,080","38,560","33,600","31,360","33,360","31,760","30,880","33,040","30,800","32,800","33,360","117,120","98,320","95,680","96,960","408,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007-876-NI,COVELL,0007 - Covell Hall,"23,760","24,560","45,360","61,680","67,840","11,760","29,200","24,400","30,320","24,000","26,000","22,300","93,680","141,280","83,920","72,300","391,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-090,West Hall,0115 - West Hall,"31,280","26,560","25,520","32,800","36,240","38,000","31,120","35,120","36,880","30,800","32,560","33,920","83,360","107,040","103,120","97,280","390,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-036,Sinnhuber Aquatic Research Lab,0491 - Sinnhuber Aquatic Rerearch Lab ,"39,960","39,240","37,600","32,200","31,440","36,120","33,960","32,040","25,720","22,920","22,800","25,360","116,800","99,760","91,720","71,080","379,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068-938-LG,Burt Dock,0068 - Burt Hall,"34,080","33,600","28,080","28,320","28,320","24,960","24,960","40,800","31,440","26,640","35,280","18,240","95,760","81,600","97,200","80,160","354,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-461-NI,WOMENS BD,0086 - Womens Building,"37,440","26,880","31,440","31,320","31,320","14,880","41,280","34,800","34,320","19,920","32,640",720,"95,760","77,520","110,400","53,280","336,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-380,850 SW 26TH St Corvallis OR,0218 - Health Center,"31,360","31,440","30,240","30,240","29,120","32,480","31,040","29,520","30,000","27,280","27,680","28,640","93,040","91,840","90,560","83,600","359,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141-000-NI,Goss Stadium,0108 - Goss Stadium ,"15,800","36,700","36,500","32,100","24,120","18,600","30,000","30,700","31,800","34,900","22,200","39,300","89,000","74,820","92,500","96,400","352,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119-000-BI,Hawley,0119 - Hawley Hall,"16,064","17,085","29,145","33,711","32,802","20,853","26,882","39,535","25,185","37,372","25,527","16,783","62,294","87,366","91,602","79,682","320,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083-009-E,MU East Wing,0083 - Memorial Union Building,"23,000","27,000","30,000","24,000","23,000","15,000","27,000","34,970","24,030","36,356","24,294","17,415","80,000","62,000","86,000","78,065","306,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016-Gleeson,GLEESON,0016 - Gleeson Hall,"8,900","29,600","52,703","24,618","24,618","12,023","32,346","22,600","32,222","24,700","24,300","20,707","91,203","61,259","87,168","69,707","309,337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021-908-NI,NASH,0021 - Nash Hall,"21,761","22,402","25,289","21,086","23,053","19,051","33,552","34,792","27,702","34,807","21,258","15,822","69,452","63,190","96,046","71,887","300,575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114-710-BI,Cauthorn,0114 - Cauthorn Hall,"11,753","11,154","27,981","36,793","24,383","18,341","22,894","35,610","26,218","35,623","24,969","13,906","50,888","79,517","84,722","74,498","289,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-321,4575 SW Research Way,0520 - Research Way Laboratory,"22,560","19,480","19,680","23,680","25,440","28,480","27,520","25,760","25,760","22,080","20,320","19,680","61,720","77,600","79,040","62,080","280,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154-536-NO,VET RSH LAB,0154 - Vet Research Lab,"28,800","33,080","22,080","19,240","20,400","15,280","19,240","29,560","27,520","2,360","37,200","15,520","83,960","54,920","76,320","55,080","270,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-260,270 SW 35th Street,0089 - Jefferson Street Building (JSB) ,0,0,0,0,"47,520","51,200","51,040","51,040","49,120",0,0,0,0,"98,720","151,200",0,"249,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068-993-LG,Burt 2,0068 - Burt Hall,"27,600","27,200","22,800","21,200","21,600","17,200","20,800","28,400","22,000","18,800","21,800","11,600","77,600","60,000","71,200","52,200","261,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101-852-BO,Seed Lab,0101 - Seed Lab,"15,200","14,160","18,800","12,720","14,000","9,600","13,840","18,080","14,800","8,160","92,240","14,880","48,160","36,320","46,720","115,280","246,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113-532-BI,West Dng,0113 - Marketplace West Dining Center,"37,760","37,600","36,640","26,400","13,120","8,320","14,080","9,800","8,320","13,800","19,300",0,"112,000","47,840","32,200","33,100","225,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
