,,,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Summer Term,Fall Term,Winter Term,Spring Term,Annual,, Lab space ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter,Description,Building,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-109,FERL-Richardson,0148 - Richardson Hall,"238,080","158,640","171,360","190,080","192,480","211,440","145,920","154,800","162,480","139,680","137,040","139,680","568,080","594,000","463,200","416,400","2,041,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073-908-NI,CORDLEY,0073 - Cordley Hall,,"182,652","311,799","151,834","151,834","151,834","151,836","255,631","215,402","173,945","136,294","235,060","494,451","455,502","622,869","545,299","2,118,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-319,2005/05 ReserExpansion,0120 - Reser Stadium,"168,600","153,900","208,200","219,600","220,800","206,700","175,500","165,600","172,800","14,000","153,900","142,500","530,700","647,100","513,900","310,400","2,002,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190-McNary-Master,McNary Cmplx-Note A,0190 - McNary Hall,"106,772","115,424","152,580","165,640","153,262","115,194","170,568","213,566","186,142","240,810","164,370","100,714","374,776","434,096","570,276","505,894","1,885,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145-DixonMasterReader,Dixon Annex-Master,0145 - Dixon Recreation Center,"168,828","194,166","206,256","135,572","123,278","98,458","170,300","178,638","126,800","161,400","182,500","170,700","569,250","357,308","475,738","514,600","1,916,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061-756-NI,Kerr Administration - B side building meter,0061 - Kerr Administration Bldg,"211,200","133,920","190,720","160,560","160,560","132,480","153,920","223,360","112,640","47,840","95,680","60,480","535,840","453,600","489,920","204,000","1,683,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207-000-E,INTO Living and Learning Ctr,0207 - International Living Learning Center,"102,701","114,317","129,309","115,982","118,296","98,569","160,655","202,865","116,940","169,661","124,102","89,014","346,327","332,847","480,460","382,777","1,542,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008-000-E,Johnson Hall,0008 - Johnson Hall,"130,985","149,173","167,357","119,115","105,013","85,521","141,094","152,152","122,969","168,333","110,977","87,629","447,515","309,649","416,215","366,939","1,540,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-181,Temp Up & Down Engnrg Center-Kelley,0003 - Kelley Engineering Center,"313,600","275,600","289,200","267,200","203,200",,,,,,,,"878,400","470,400",0,0,"1,348,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-030,General,0015 - Gilbert Hall,"121,200","124,560","123,840","114,000","114,480","127,920","104,880","114,480","122,400","116,640","116,880","116,880","369,600","356,400","341,760","350,400","1,418,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-063,General-Pri Mtr Western & Stamm,0545 - Oak Creek Building,"91,000","101,000","100,000","101,000","119,000","131,000","134,000","141,000","142,000","112,000","101,000","109,000","292,000","351,000","417,000","322,000","1,382,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
