,,,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter,Description,Building,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,Summer Term,Fall Term,Winter Term,Spring Term,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109-848-BI,Weatherford,0109 - Weatherford Hall,"38,039","49,150","45,630","74,181","62,928","48,985","84,940","66,486","58,708","61,033","82,093","48,847","132,819","186,094","210,134","191,973","721,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-088,Cascade Hall,0058 - Cascade Hall,"56,100","57,000","56,400","52,500","56,100","58,800","60,600","60,000","57,000","57,300","53,100","56,700","169,500","167,400","177,600","167,100","681,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-067-NO,Crop Science,0080 - Crop Science Building,"65,680","57,120","89,680","58,160","44,880","52,320","48,080","64,880","36,880","50,200","48,000","52,700","212,480","155,360","149,840","150,900","668,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034-937-NI,KIDDER,0034 - Kidder Hall,"72,600","91,800","80,700","80,400","44,100","28,800","48,300","38,700","39,300","34,500","73,800","17,400","245,100","153,300","126,300","125,700","650,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139-MAIN-CH,W Green Main-Note G,0139 - West Greenhouse (W6&7),"57,075","46,870","52,585","46,099","49,449","45,409","47,603","77,156","43,352","60,702","46,756","56,655","156,530","140,957","168,111","164,112","629,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030-996-LG,PHARMACY,0030 - Pharmacy,"58,920","75,360","66,480","73,560","44,280","27,960","50,280","43,920","40,320","36,960","48,720","45,480","200,760","145,800","134,520","131,160","612,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-377,GRAF,0006 - Graf Hall,"60,800","50,480","38,720","44,000","51,840","58,720","56,240","54,720","50,000","44,800","46,960","50,560","150,000","154,560","160,960","142,320","607,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156-000-E,Sports Performance Center,0156 - P. Wayne Valley Sports Performance Center,"51,700","55,600","49,500","41,300","49,400","55,200","62,800","52,300","44,300","51,400","48,900","35,500","156,800","145,900","159,400","135,800","597,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019-180-NI,ROGERS,0019 - Rogers Hall,"51,840","60,640","48,320","57,280","43,040","32,640","66,240","35,520","41,280","42,720","49,440","47,360","160,800","132,960","143,040","139,520","576,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090-001-E,Austin Hall,0090 - Austin Hall,"57,000","60,000","51,000","55,000","40,000","24,000","47,000","34,000","38,000","67,000","26,000","36,000","168,000","119,000","119,000","129,000","535,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197-167-BI,Arnold,0197 - Arnold Dining Center,"53,391","31,527","60,958","46,386","29,629","21,126","64,634","41,936","37,631","34,247","65,520","42,011","145,876","97,141","144,201","141,778","528,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111-000-BI,Buxton,0111 - Buxton Hall,"33,988","22,929","50,836","52,211","35,476","24,587","64,549","48,467","41,071","37,679","83,417","33,497","107,753","112,274","154,087","154,593","528,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081-Milam,MILAM,0081 - Milam Hall,"53,000","34,000","66,000","51,000","32,000","21,000","65,000","43,000","35,000","33,000","56,000","39,000","153,000","104,000","143,000","128,000","528,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061-994-LG,Kerr Administration - A side building meter,0061 - Kerr Administration Bldg,"59,100","61,800","56,100","43,500","36,600","32,400","37,800","41,700","24,900","31,500","45,900","51,300","177,000","112,500","104,400","128,700","522,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-381,700 SW 26TH St Corvallis OR,0120 - Reser Stadium,"41,080","43,520","40,920","39,040","43,000","43,280","46,240","42,000","41,200","44,560","40,840","40,920","125,520","125,320","129,440","126,320","506,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-076,General-26th & Western,0200 - LaSells Stewart Center ,"35,040","40,640","29,600","27,840","40,800","56,480","52,800","59,840","45,920","40,160","32,320","30,400","105,280","125,120","158,560","102,880","491,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102-711-NI,Waldo,0102 - Waldo Hall,"8,400","8,640","378,720","15,300","9,300","9,100","10,700","11,800","8,500","11,700","10,200","8,400","395,760","33,700","31,000","30,300","490,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012-519-NI,GILBERT ,0012 - Gilbert Addition,"36,800","47,520","41,440","46,560","39,200","30,400","54,880","40,000","51,200","23,040","41,760","37,760","125,760","116,160","146,080","102,560","490,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-350,4100 SW Research Way,0537 - Gymnastics Practice Facility,"44,960","46,720","40,560","37,600","40,000","39,600","41,840","39,280","34,880","39,360","34,960","39,040","132,240","117,200","116,000","113,360","478,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-036,Sinnhuber Aquatic Research Lab,0491 - Sinnhuber Aquatic Rerearch Lab ,"43,200","46,480","42,160","37,160","38,800","38,240","39,000","35,640","34,360","35,760","33,720","36,040","131,840","114,200","109,000","105,520","460,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105-995-LG,LANGTON,0105 - Langton Hall,"34,880","34,400","38,880","37,920","41,760","30,720","38,900","60,000","31,200","31,520","32,960","40,960","108,160","110,400","130,100","105,440","454,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-055,Wave tank,0137 - Hinsdale Wave Research Lab,"19,500","22,200","20,400","29,100","41,700","59,100","69,600","72,600","67,200","47,400",0,0,"62,100","129,900","209,400","47,400","448,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198-413-BI,Bloss,0198 - Bloss Hall,"22,219","18,709","41,398","46,801","32,188","24,270","62,485","45,470","35,936","30,608","51,390","29,608","82,326","103,259","143,891","111,606","441,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139-562-NO,WEST XFORM.,0139 - West Greenhouse (W6&7),"28,560","29,760","35,520","25,440","32,400","38,640","34,800","58,800","30,960","40,320","33,600","40,800","93,840","96,480","124,560","114,720","429,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196-190-BI,Finley,0196 - Finley Hall,"24,733","14,661","41,595","48,294","32,952","24,199","59,365","44,940","34,212","29,147","49,849","25,396","80,989","105,445","138,517","104,392","429,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-147,Halsell Hall,0204 - Carrie Halsell Residence Hall,"25,840","29,920","28,720","35,360","41,760","39,200","33,440","38,640","36,720","36,160","36,480","38,080","84,480","116,320","108,800","110,720","420,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-382,SW 26th Ave Corvallis OR Scoreboard,0120 - Reser Stadium,"27,920","17,840","36,320","39,040","44,320","53,280","47,040","24,400","20,640","39,840","33,200","33,840","82,080","136,640","92,080","106,880","417,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-209,Dryden Hall,0151 - Dryden Hall,"40,240","44,880","37,280","32,240","36,560","32,400","33,600","30,720","31,120","31,600","31,200","33,760","122,400","101,200","95,440","96,560","415,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067-915-NI,BALLARD EXT.,0067 - Ballard Extension Hall,"7,880","15,960","4,040","8,160","6,200","6,000","8,240","335,840","5,600","5,080","7,000","4,240","27,880","20,360","349,680","16,320","414,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038-751-NI,STRAND AG.,0038 - Strand Agricultural Hall,"29,632","39,678","34,637","40,494","35,946","24,866","50,521","29,871","32,403","28,584","41,326","25,409","103,947","101,306","112,795","95,319","413,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-133,Alumni Center,0201 - CH2M Hill Alumni Center,"35,600","37,760","32,320","31,200","35,360","36,080","34,560","34,560","30,640","31,920","35,233","35,440","105,680","102,640","99,760","102,593","410,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-090,West Hall,0115 - West Hall,"29,600","33,760","27,120","33,120","39,040","38,000","32,240","38,400","36,560","34,720","33,760","33,040","90,480","110,160","107,200","101,520","409,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-260,270 SW 35th Street,0089 - Jefferson Street Building (JSB) ,"27,680","27,680","26,560","28,480","35,680","45,280","57,600","60,960","47,200","46,880",0,0,"81,920","109,440","165,760","46,880","404,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096-623-BIR,Sackett,0096 - Sackett Hall,"25,000","14,000","37,000","44,000","29,000","20,000","50,000","38,000","33,000","29,000","49,000","28,000","76,000","93,000","121,000","106,000","396,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020-003-NI,MILNE CC,0020 - Milne Computer Center,"29,328","22,761","36,503","32,021","26,020","17,755","53,953","33,403","32,687","27,067","42,376","24,572","88,592","75,796","120,043","94,015","378,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-380,850 SW 26TH St Corvallis OR,0218 - Health Center,"29,440","32,240","28,880","27,760","30,960","34,400","33,360","34,080","29,440","30,640","28,240","29,680","90,560","93,120","96,880","88,560","369,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068-938-LG,Burt Dock,0068 - Burt Hall,"31,440","28,320","31,920","24,960","32,400","28,080","29,280","42,720","21,360","30,000","25,920","35,760","91,680","85,440","93,360","91,680","362,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141-000-NI,Goss Stadium,0108 - Goss Stadium ,"19,300","38,000","28,100","34,500","24,760","18,600","31,400","30,600","31,850","34,800","23,400","38,800","85,400","77,860","93,850","97,000","354,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-321,4575 SW Research Way,0520 - Research Way Laboratory,"35,680","29,120","27,520","27,200","32,960","33,600","33,760","30,080","27,680","27,520","23,680","23,200","92,320","93,760","91,520","74,400","352,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-461-NI,WOMENS BD,0086 - Womens Building,"22,320","29,280","28,320","32,160","28,560","18,720","40,560","27,360","26,640","24,720","36,720","17,760","79,920","79,440","94,560","79,200","333,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021-908-NI,NASH,0021 - Nash Hall,"30,197","17,133","35,822","30,020","19,836","14,381","42,353","26,638","23,780","21,081","35,171","22,026","83,152","64,237","92,771","78,278","318,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113-532-BI,West Dng,0113 - Marketplace West Dining Center,"41,120","50,560","36,480","32,160","19,200","8,800","17,760","8,960","9,280","17,600","18,400","51,040","128,160","60,160","36,000","87,040","311,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-146,End of Smith Ln-Salmon DL-Note E,0493 - John L. Fryer Aquatic Animal Health Laboratory,"26,000","28,800","29,200","29,920","27,160","44,960","48,040","34,880","30,120","29,320","-15,360","-11,080","84,000","102,040","113,040","2,880","301,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007-876-NI,COVELL,0007 - Covell Hall,"24,640","30,960","25,840","28,640","23,360","18,960","29,120","24,400","19,600","23,280","25,360","21,760","81,440","70,960","73,120","70,400","295,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083-009-E,MU East Wing,0083 - Memorial Union Building,"21,000","22,000","31,000","27,000","22,000","20,000","24,000","21,000","25,000","23,000","27,000","24,000","74,000","69,000","70,000","74,000","287,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016-Gleeson,GLEESON,0016 - Gleeson Hall,"23,400","29,937","25,179","27,235","21,589","17,519","30,306","22,652","19,985","22,460","24,558","20,175","78,516","66,343","72,943","67,193","284,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068-993-LG,Burt 2,0068 - Burt Hall,"23,200","21,600","22,800","17,600","22,000","24,400","23,600","36,000","17,600","24,000","20,400","27,600","67,600","64,000","77,200","72,000","280,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114-710-BI,Cauthorn,0114 - Cauthorn Hall,"12,548","8,046","16,700","30,800","28,200","21,900","26,500","31,100","24,900","28,700","31,414","19,818","37,294","80,900","82,500","79,932","280,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154-536-NO,VET RSH LAB,0154 - Vet Research Lab,"22,880","26,080","28,360","19,200","20,360","19,920","19,280","24,240","15,240","19,680","19,160","26,800","77,320","59,480","58,760","65,640","261,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-182,Kelley Eng Center,0003 - Kelley Engineering Center,"20,100","22,200","21,300","23,100","26,400","21,300","20,400","20,400","25,500","24,300","17,700","18,000","63,600","70,800","66,300","60,000","260,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100-397-BI,Snell Hall-C,0100 - Snell Hall,"20,520","23,220","17,460","17,460","20,520","18,540","18,720","26,280","34,020","13,860",0,"39,420","61,200","56,520","79,020","53,280","250,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
