,,,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter,Description,Building,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,Summer Term,Fall Term,Winter Term,Spring Term,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153-437-NO,MAGRUDER-NEW,0153 - Magruder Hall,"203,420","194,213","191,497","175,931","186,760","183,669","173,388","235,371","131,987","166,178","165,882","229,618","589,130","546,360","540,746","561,678","2,237,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145-DixonMasterReader,Dixon Annex-Master,0145 - Dixon Recreation Center,"258,028","152,222","289,160","209,936","129,876","87,278","247,900","154,036","142,068","113,618","183,480","134,532","699,410","427,090","544,004","431,630","2,102,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061-756-NI,Kerr Administration - B side building meter,0061 - Kerr Administration Bldg,"176,640","173,120","186,560","161,920","180,960","164,000","196,800","229,120","129,280","156,160","299,040","25,920","536,320","506,880","555,200","481,120","2,079,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190-McNary-Master,McNary Cmplx-Note A,0190 - McNary Hall,"129,957","76,096","186,722","213,708","141,866","93,712","251,610","188,190","159,244","141,302","245,898","138,446","392,775","449,286","599,044","525,646","1,966,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-379,SW 26th Ave,0120 - Reser Stadium,"139,800","142,500","153,300","163,200","216,600","252,600","204,900","153,600","124,800","134,700","131,100","121,800","435,600","632,400","483,300","387,600","1,938,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012-518-NI,GILBERT Addition,0012 - Gilbert Addition,0,"47,200",0,0,0,0,0,"1,719,120","35,600","50,000",0,0,"47,200",0,"1,754,720","50,000","1,851,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-319,2005/05 ReserExpansion,0120 - Reser Stadium,"142,500","186,300","186,300","203,400","210,000","172,800","118,200","106,200","119,100","135,900","129,300","140,400","515,100","586,200","343,500","405,600","1,850,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008-000-E,Johnson Hall,0008 - Johnson Hall,"234,227","137,199","229,920","160,244","99,986","72,871","219,139","134,256","122,345","108,478","177,060","124,928","601,346","333,101","475,740","410,466","1,820,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017-243-NI,WENIGER,0017 - Weniger Hall,"138,400","135,200","142,800","117,200","130,000","90,000","159,600","162,000","88,800","116,000","102,000","140,400","416,400","337,200","410,400","358,400","1,522,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207-000-E,INTO Living and Learning Ctr,0207 - International Living Learning Center,"131,879","74,549","150,118","142,259","104,479","69,649","202,337","137,171","128,902","102,567","170,136","105,417","356,546","316,387","468,410","378,120","1,519,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
