,,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,,,,,,,Lab space
Meter #,Building,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Summer,Fall,Winter ,Spring,Annual,,
019-000-S,Rogers,"11,100","10,000","7,200","18,150","18,150","10,100","43,800","43,000","11,300","22,400","7,100","3,100","28,300","46,400","98,100","32,600","205,400",,
080-001-S,Crop Science,"1,700","1,700",300,"20,100","20,200","4,900","46,200","59,700","5,300",700,600,300,"3,700","45,200","111,200","1,600","161,700",,
068-002-S,Burt  2,"6,400","7,400","5,800","7,100","7,100","5,900","32,100","55,500","5,200","1,700","8,700","2,100","19,600","20,100","92,800","12,500","145,000",,
118-000-S,Reed Lodge,0,0,0,994,994,"1,004","68,199","9,577","43,295",736,108,1,0,"2,991","121,071",845,"124,907",,
014-000-S,Shepard Hall,147,0,0,"1,883","1,883","2,000","10,146","10,581","4,320","1,832",844,236,147,"5,766","25,047","2,912","33,872",,
116-000-S,Heckart Lodge,2,0,0,"1,464","1,464","1,682","4,606","5,847","1,862","9,200",340,98,2,"4,610","12,315","9,638","26,565",,
100-002-S,Snell Café,100,0,0,"1,250","1,250","3,100","9,700","7,300","1,400",900,100,0,100,"5,600","18,400","1,000","25,100",,
018-000-S,Bexell Hall,"1,200",0,0,0,0,0,0,0,0,"17,900",0,0,"1,200",0,0,"17,900","19,100",,
023-001-S,LINC,"2,200","8,019",66,184,184,245,"1,684",748,502,"1,500","2,000",617,"10,285",613,"2,934","4,117","17,949",,
053-000-S,McAlexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
037-000-S,Gilkey Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
062-000-S,Plageman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
